datetime,temp,temp(sensor)
2024/7/1 1:00,26.3,29
2024/7/1 2:00,26.6,29.1
2024/7/1 3:00,26.6,29.2
2024/7/1 4:00,26.8,29.2
2024/7/1 5:00,24.2,29.2
2024/7/1 6:00,23.9,29.2
2024/7/1 7:00,24.1,29.2
2024/7/1 8:00,24.8,26.4
2024/7/1 9:00,25.4,23.9
2024/7/1 10:00,26,23.6
2024/7/1 11:00,26.8,24
2024/7/1 12:00,28.2,23.5
2024/7/1 13:00,28.8,23.4
2024/7/1 14:00,29.1,24.6
2024/7/1 15:00,29,24.1
2024/7/1 16:00,28.7,24.2
2024/7/1 17:00,28.1,23.4
2024/7/1 18:00,27.9,24
2024/7/1 19:00,27.3,27.1
2024/7/1 20:00,27.1,27.7
2024/7/1 21:00,26.5,28.2
2024/7/1 22:00,25.9,28.6
2024/7/1 23:00,25.8,28.7
2024/7/2 0:00,25.4,28.9
2024/7/2 1:00,24.6,28.9
2024/7/2 2:00,24.5,28.9
2024/7/2 3:00,24.6,29
2024/7/2 4:00,24.4,29
2024/7/2 5:00,23.5,29
2024/7/2 6:00,25,28.8
2024/7/2 7:00,26.4,29
2024/7/2 8:00,28.4,29.4
2024/7/2 9:00,28.5,24
2024/7/2 10:00,29.4,23.6
2024/7/2 11:00,30.8,23.1
2024/7/2 12:00,31.1,23.5
2024/7/2 13:00,31,24.6
2024/7/2 14:00,31.4,24.8
2024/7/2 15:00,31.6,24
2024/7/2 16:00,31.6,23.7
2024/7/2 17:00,30,23.1
2024/7/2 18:00,29.7,27.2
2024/7/2 19:00,28.3,27.9
2024/7/2 20:00,28.1,28.4
2024/7/2 21:00,27.5,29
2024/7/2 22:00,27.1,29.4
2024/7/2 23:00,26.9,29.5
2024/7/3 0:00,25.8,29.8
2024/7/3 1:00,25.2,29.7
2024/7/3 2:00,24.7,29.7
2024/7/3 3:00,24.5,29.7
2024/7/3 4:00,23.8,29.7
2024/7/3 5:00,23.7,29.8
2024/7/3 6:00,23.1,29.7
2024/7/3 7:00,23.9,29.9
2024/7/3 8:00,25,29.6
2024/7/3 9:00,25.5,25
2024/7/3 10:00,26.7,24.5
2024/7/3 11:00,27.2,24.3
2024/7/3 12:00,28.4,24
2024/7/3 13:00,30.3,23.6
2024/7/3 14:00,32,23
2024/7/3 15:00,33.5,24.8
2024/7/3 16:00,32.5,24.2
2024/7/3 17:00,32.2,25.3
2024/7/3 18:00,31.3,28.7
2024/7/3 19:00,29.3,29.1
2024/7/3 20:00,27.7,29.5
2024/7/3 21:00,27.5,29.8
2024/7/3 22:00,26.5,30
2024/7/3 23:00,26.1,30.1
2024/7/4 0:00,25.5,30.1
2024/7/4 1:00,25.5,30.2
2024/7/4 2:00,25.1,30.2
2024/7/4 3:00,24.9,30.3
2024/7/4 4:00,25.1,30.3
2024/7/4 5:00,25.8,30.4
2024/7/4 6:00,26.7,30
2024/7/4 7:00,27.4,30.1
2024/7/4 8:00,28.2,30.3
2024/7/4 9:00,29.3,25.2
2024/7/4 10:00,30.6,25.5
2024/7/4 11:00,32.1,23.7
2024/7/4 12:00,33.3,23.2
2024/7/4 13:00,33.9,25
2024/7/4 14:00,34.4,24.8
2024/7/4 15:00,33.7,24.4
2024/7/4 16:00,33.9,24.2
2024/7/4 17:00,33.8,24.4
2024/7/4 18:00,32.9,29.1
2024/7/4 19:00,31.8,29.9
2024/7/4 20:00,31.1,30.1
2024/7/4 21:00,30.5,30.4
2024/7/4 22:00,28.5,30.7
2024/7/4 23:00,28.5,31.1
2024/7/5 0:00,27.7,31.3
2024/7/5 1:00,27.6,31.4
2024/7/5 2:00,26.4,31.5
2024/7/5 3:00,25,31.6
2024/7/5 4:00,24.9,31.6
2024/7/5 5:00,24.9,31.6
2024/7/5 6:00,26.9,31.7
2024/7/5 7:00,28.2,32.6
2024/7/5 8:00,28.9,32.8
2024/7/5 9:00,30.2,24.7
2024/7/5 10:00,30.9,24.4
2024/7/5 11:00,32.8,24.6
2024/7/5 12:00,32.8,24.7
2024/7/5 13:00,33.9,24.6
2024/7/5 14:00,35.1,25.1
2024/7/5 15:00,35.6,24.7
2024/7/5 16:00,35.1,24.4
2024/7/5 17:00,35.1,30.1
2024/7/5 18:00,34,31.1
2024/7/5 19:00,32,31.9
2024/7/5 20:00,31.2,32.1
2024/7/5 21:00,30.6,32.1
2024/7/5 22:00,29.8,31.9
2024/7/5 23:00,28.2,32
2024/7/6 0:00,26.8,31.8
2024/7/6 1:00,26.5,31.8
2024/7/6 2:00,26.5,31.7
2024/7/6 3:00,26.1,31.9
2024/7/6 4:00,26.1,32
2024/7/6 5:00,25.9,31.8
2024/7/6 6:00,26.8,32.4
2024/7/6 7:00,27.7,32.5
2024/7/6 8:00,29,32.8
2024/7/6 9:00,30,25.6
2024/7/6 10:00,31.4,25.2
2024/7/6 11:00,32,24.9
2024/7/6 12:00,32.7,24.7
2024/7/6 13:00,33.7,24.5
2024/7/6 14:00,34.3,24
2024/7/6 15:00,33.8,24.1
2024/7/6 16:00,31.6,24
2024/7/6 17:00,26.6,28.9
2024/7/6 18:00,25.8,30.1
2024/7/6 19:00,25.7,30.7
2024/7/6 20:00,25.4,31
2024/7/6 21:00,25.6,31.2
2024/7/6 22:00,25.8,31.3
2024/7/6 23:00,25.6,31.4
2024/7/7 0:00,25.4,31.4
2024/7/7 1:00,25.4,31.5
2024/7/7 2:00,25.2,31.5
2024/7/7 3:00,24.9,31.7
2024/7/7 4:00,25.2,31.6
2024/7/7 5:00,24.9,31.5
2024/7/7 6:00,25.3,32.4
2024/7/7 7:00,26.7,32.4
2024/7/7 8:00,27.1,32.7
2024/7/7 9:00,29.4,27.3
2024/7/7 10:00,30.5,26.2
2024/7/7 11:00,32,25.3
2024/7/7 12:00,33.1,24.4
2024/7/7 13:00,34.3,25.1
2024/7/7 14:00,36,23.8
2024/7/7 15:00,36.6,24.7
2024/7/7 16:00,36.1,25.4
2024/7/7 17:00,35.9,24.8
2024/7/7 18:00,35,30
2024/7/7 19:00,34.2,31.1
2024/7/7 20:00,32.7,31.7
2024/7/7 21:00,31.6,32.2
2024/7/7 22:00,30.6,32.3
2024/7/7 23:00,29.6,32.4
2024/7/8 0:00,28.7,32.5
2024/7/8 1:00,29,32.5
2024/7/8 2:00,28.1,32.5
2024/7/8 3:00,27.3,32.6
2024/7/8 4:00,27.5,32.5
2024/7/8 5:00,27.3,32.6
2024/7/8 6:00,28.9,33.2
2024/7/8 7:00,30.5,33.8
2024/7/8 8:00,32.3,29.7
2024/7/8 9:00,32.3,24.8
2024/7/8 10:00,33.5,25.2
2024/7/8 11:00,34.9,24.1
2024/7/8 12:00,34.2,25.6
2024/7/8 13:00,34.7,26.2
2024/7/8 14:00,36.2,27
2024/7/8 15:00,37.2,26.5
2024/7/8 16:00,37.9,25.6
2024/7/8 17:00,38.2,25.5
2024/7/8 18:00,36.2,26.8
2024/7/8 19:00,34.4,30.6
2024/7/8 20:00,32.4,31.7
2024/7/8 21:00,31.1,32.8
2024/7/8 22:00,29.1,33
2024/7/8 23:00,29,33.2
2024/7/9 0:00,28.6,33.4
2024/7/9 1:00,28.1,33.4
2024/7/9 2:00,27.6,33.4
2024/7/9 3:00,26.3,33.5
2024/7/9 4:00,26.7,33.5
2024/7/9 5:00,25.9,33.6
2024/7/9 6:00,27.5,32.8
2024/7/9 7:00,30,29.1
2024/7/9 8:00,29.3,26.3
2024/7/9 9:00,29.8,29.3
2024/7/9 10:00,29.8,27
2024/7/9 11:00,32,27.2
2024/7/9 12:00,33.8,26.8
2024/7/9 13:00,34.5,25.1
2024/7/9 14:00,33,26.5
2024/7/9 15:00,31.3,26.2
2024/7/9 16:00,30.9,25.9
2024/7/9 17:00,31.2,25.8
2024/7/9 18:00,30.8,25.7
2024/7/9 19:00,29.3,29.8
2024/7/9 20:00,29.4,30.9
2024/7/9 21:00,28.7,31.5
2024/7/9 22:00,28.2,31.9
2024/7/9 23:00,28.1,32.3
2024/7/10 0:00,27.7,32.7
2024/7/10 1:00,27.8,32.7
2024/7/10 2:00,26.6,32.6
2024/7/10 3:00,26.1,32.7
2024/7/10 4:00,26.4,32.7
2024/7/10 5:00,26,32.7
2024/7/10 6:00,27.2,30.2
2024/7/10 7:00,27.9,29.7
2024/7/10 8:00,30,27
2024/7/10 9:00,30.4,26.3
2024/7/10 10:00,31.3,26.6
2024/7/10 11:00,31.5,26
2024/7/10 12:00,30.3,25.4
2024/7/10 13:00,30,25.6
2024/7/10 14:00,30.1,25.8
2024/7/10 15:00,30.7,26
2024/7/10 16:00,30.3,25.6
2024/7/10 17:00,30.6,26.3
2024/7/10 18:00,30.9,25.6
2024/7/10 19:00,30.1,29.8
2024/7/10 20:00,29.2,30.7
2024/7/10 21:00,28.3,31.2
2024/7/10 22:00,26.4,31.5
2024/7/10 23:00,26.9,31.8
2024/7/11 0:00,27.2,31.9
2024/7/11 1:00,28.4,32
2024/7/11 2:00,26,31.9
2024/7/11 3:00,25.3,32.1
2024/7/11 4:00,24.8,32
2024/7/11 5:00,24.9,32
2024/7/11 6:00,25.1,29.7
2024/7/11 7:00,25.2,26.1
2024/7/11 8:00,25.5,26.4
2024/7/11 9:00,26.5,26.4
2024/7/11 10:00,26.8,26.5
2024/7/11 11:00,27.8,26.1
2024/7/11 12:00,27.6,26.3
2024/7/11 13:00,28.4,25.1
2024/7/11 14:00,28.3,26
2024/7/11 15:00,28.2,25.3
2024/7/11 16:00,27.4,26.3
2024/7/11 17:00,27.1,25.7
2024/7/11 18:00,26.6,25.7
2024/7/11 19:00,24.9,29
2024/7/11 20:00,24.8,29.6
2024/7/11 21:00,24.8,30.1
2024/7/11 22:00,24.4,30.3
2024/7/11 23:00,24.2,30.5
2024/7/12 0:00,24.4,30.7
2024/7/12 1:00,24,30.7
2024/7/12 2:00,24.3,30.7
2024/7/12 3:00,24.7,30.8
2024/7/12 4:00,24.6,30.8
2024/7/12 5:00,24.2,31
2024/7/12 6:00,24.4,27.9
2024/7/12 7:00,24.7,25.9
2024/7/12 8:00,25,25.5
2024/7/12 9:00,25,26.2
2024/7/12 10:00,25.4,26.4
2024/7/12 11:00,25.7,26.2
2024/7/12 12:00,25.1,25.4
2024/7/12 13:00,25.2,25.4
2024/7/12 14:00,24.5,25
2024/7/12 15:00,23.8,25.9
2024/7/12 16:00,23.6,26.1
2024/7/12 17:00,23.2,26.2
2024/7/12 18:00,23.2,26.2
2024/7/12 19:00,22.7,28.4
2024/7/12 20:00,22.7,28.8
2024/7/12 21:00,23,29.1
2024/7/12 22:00,23.1,29.4
2024/7/12 23:00,23.1,29.7
2024/7/13 0:00,23,29.8
2024/7/13 1:00,22.9,29.7
2024/7/13 2:00,22.9,29.8
2024/7/13 3:00,22.9,29.8
2024/7/13 4:00,22.8,29.9
2024/7/13 5:00,22.9,30.1
2024/7/13 6:00,23.6,25.7
2024/7/13 7:00,25.3,26.5
2024/7/13 8:00,26.3,27
2024/7/13 9:00,27.7,25.8
2024/7/13 10:00,29.1,26.1
2024/7/13 11:00,30.4,26
2024/7/13 12:00,30.6,25.8
2024/7/13 13:00,30.7,26.3
2024/7/13 14:00,31,26.3
2024/7/13 15:00,31.4,26.1
2024/7/13 16:00,31.5,26.2
2024/7/13 17:00,28.8,26.6
2024/7/13 18:00,26.6,26.4
2024/7/13 19:00,26.7,29
2024/7/13 20:00,26.5,29.4
2024/7/13 21:00,26.5,29.9
2024/7/13 22:00,26.4,30.1
2024/7/13 23:00,25.9,30.3
2024/7/14 0:00,26.2,30.5
2024/7/14 1:00,25.4,30.5
2024/7/14 2:00,25,30.6
2024/7/14 3:00,24.9,30.5
2024/7/14 4:00,24.5,30.6
2024/7/14 5:00,24.5,30.5
2024/7/14 6:00,24.6,27.6
2024/7/14 7:00,24.4,27.2
2024/7/14 8:00,24.2,25.6
2024/7/14 9:00,24.3,26.2
2024/7/14 10:00,24.2,25.7
2024/7/14 11:00,24.3,26.5
2024/7/14 12:00,24.7,25.5
2024/7/14 13:00,25,27.1
2024/7/14 14:00,26.2,26
2024/7/14 15:00,26.8,25.3
2024/7/14 16:00,26.8,26.5
2024/7/14 17:00,25.7,26.6
2024/7/14 18:00,25.1,26.8
2024/7/14 19:00,24.6,28.4
2024/7/14 20:00,24.3,28.8
2024/7/14 21:00,24.2,29.2
2024/7/14 22:00,24.3,29.4
2024/7/14 23:00,24.3,29.6
2024/7/15 0:00,24.1,29.6
2024/7/15 1:00,23.9,29.7
2024/7/15 2:00,23.7,29.8
2024/7/15 3:00,23.6,29.8
2024/7/15 4:00,23.1,29.8
2024/7/15 5:00,22.8,29.6
2024/7/15 6:00,23,27.1
2024/7/15 7:00,23.3,25.1
2024/7/15 8:00,23.1,25.1
2024/7/15 9:00,23.3,24.3
2024/7/15 10:00,23.2,25.7
2024/7/15 11:00,22.8,25.4
2024/7/15 12:00,24.1,25.2
2024/7/15 13:00,25.8,25.5
2024/7/15 14:00,26.4,25
2024/7/15 15:00,27,24.9
2024/7/15 16:00,27,24.4
2024/7/15 17:00,26.3,25.8
2024/7/15 18:00,25.9,24.6
2024/7/15 19:00,25.1,27.6
2024/7/15 20:00,24.6,27.9
2024/7/15 21:00,24.4,28
2024/7/15 22:00,24.2,28.3
2024/7/15 23:00,23.9,28.4
2024/7/16 0:00,23.7,28.5
2024/7/16 1:00,23.7,28.6
2024/7/16 2:00,23.4,28.4
2024/7/16 3:00,23.2,28.7
2024/7/16 4:00,23.2,28.6
2024/7/16 5:00,23,28.6
2024/7/16 6:00,23,25.7
2024/7/16 7:00,23.2,24.7
2024/7/16 8:00,23.6,25.6
2024/7/16 9:00,24.3,26.3
2024/7/16 10:00,24.9,26.9
2024/7/16 11:00,24.7,24.7
2024/7/16 12:00,25.5,25.1
2024/7/16 13:00,26.1,25.6
2024/7/16 14:00,25.3,26.1
2024/7/16 15:00,24.7,26.1
2024/7/16 16:00,23.9,26.3
2024/7/16 17:00,23.6,25.8
2024/7/16 18:00,23.5,26.2
2024/7/16 19:00,23.1,27.3
2024/7/16 20:00,22.8,27.6
2024/7/16 21:00,22.4,27.9
2024/7/16 22:00,22.6,28
2024/7/16 23:00,22.4,28.2
2024/7/17 0:00,22.4,28.1
2024/7/17 1:00,22.3,28.2
2024/7/17 2:00,22.4,28.3
2024/7/17 3:00,22.6,28.2
2024/7/17 4:00,22.5,28.2
2024/7/17 5:00,22.5,28.2
2024/7/17 6:00,22.8,25.2
2024/7/17 7:00,23.3,24.9
2024/7/17 8:00,23.8,24.6
2024/7/17 9:00,25.4,23.9
2024/7/17 10:00,27.2,24.4
2024/7/17 11:00,27.7,23.6
2024/7/17 12:00,28.9,23.3
2024/7/17 13:00,29.7,24.4
2024/7/17 14:00,30.7,23.7
2024/7/17 15:00,31.2,24.7
2024/7/17 16:00,31.6,24.3
2024/7/17 17:00,30.3,24
2024/7/17 18:00,29.1,23.7
2024/7/17 19:00,28.6,27.1
2024/7/17 20:00,27.5,27.6
2024/7/17 21:00,26.8,27.9
2024/7/17 22:00,27,28.2
2024/7/17 23:00,25.8,28.4
2024/7/18 0:00,24.9,28.5
2024/7/18 1:00,24.7,28.5
2024/7/18 2:00,24.5,28.5
2024/7/18 3:00,24.7,28.8
2024/7/18 4:00,24.8,28.8
2024/7/18 5:00,24.2,29
2024/7/18 6:00,24.2,25.8
2024/7/18 7:00,25.1,24.7
2024/7/18 8:00,26.3,25
2024/7/18 9:00,27.5,25.5
2024/7/18 10:00,30.5,24.4
2024/7/18 11:00,31.5,25.9
2024/7/18 12:00,32.6,26.5
2024/7/18 13:00,33.2,24.9
2024/7/18 14:00,33.9,26.1
2024/7/18 15:00,34,25.9
2024/7/18 16:00,33.8,26.6
2024/7/18 17:00,32.2,25.7
2024/7/18 18:00,32,25.9
2024/7/18 19:00,29.8,28.8
2024/7/18 20:00,29.2,29.3
2024/7/18 21:00,28.7,29.7
2024/7/18 22:00,28.2,29.8
2024/7/18 23:00,28,30
2024/7/19 0:00,27.5,30.1
2024/7/19 1:00,26.8,30.2
2024/7/19 2:00,26.1,30.2
2024/7/19 3:00,26.2,30.4
2024/7/19 4:00,25.7,30.4
2024/7/19 5:00,25.2,30.4
2024/7/19 6:00,25.9,26.1
2024/7/19 7:00,27.1,25.1
2024/7/19 8:00,28.2,26
2024/7/19 9:00,29.5,25.3
2024/7/19 10:00,29.9,25.5
2024/7/19 11:00,31.5,24.6
2024/7/19 12:00,32.3,24.6
2024/7/19 13:00,34.1,24.8
2024/7/19 14:00,34.5,25.9
2024/7/19 15:00,35.6,25
2024/7/19 16:00,34.9,25.6
2024/7/19 17:00,34.5,25.1
2024/7/19 18:00,34.3,25
2024/7/19 19:00,32.8,28.9
2024/7/19 20:00,32.2,29.8
2024/7/19 21:00,31.8,30.3
2024/7/19 22:00,31.2,30.6
2024/7/19 23:00,30.6,30.9
2024/7/20 0:00,29.1,31.1
2024/7/20 1:00,27.7,31.2
2024/7/20 2:00,27.5,31.2
2024/7/20 3:00,27.1,31.3
2024/7/20 4:00,26.9,31.3
2024/7/20 5:00,26.7,31.4
2024/7/20 6:00,27.7,28
2024/7/20 7:00,29.2,29.2
2024/7/20 8:00,30.8,26
2024/7/20 9:00,31.5,27.3
2024/7/20 10:00,32.4,29.1
2024/7/20 11:00,34.1,26.8
2024/7/20 12:00,34.8,26.6
2024/7/20 13:00,34.7,26.5
2024/7/20 14:00,35.6,26
2024/7/20 15:00,35.9,26
2024/7/20 16:00,35.8,26.7
2024/7/20 17:00,35,25.9
2024/7/20 18:00,33.7,26.9
2024/7/20 19:00,33,30.2
2024/7/20 20:00,26,30.9
2024/7/20 21:00,27.3,31.3
2024/7/20 22:00,25.6,31.4
2024/7/20 23:00,25.6,31.6
2024/7/21 0:00,25.9,31.8
2024/7/21 1:00,25.8,31.9
2024/7/21 2:00,25.8,32
2024/7/21 3:00,25.7,32.1
2024/7/21 4:00,25.6,32.1
2024/7/21 5:00,25.4,32
2024/7/21 6:00,26.1,29.3
2024/7/21 7:00,26.6,27.2
2024/7/21 8:00,28.3,26.5
2024/7/21 9:00,29.9,26.1
2024/7/21 10:00,31.3,26.1
2024/7/21 11:00,32.4,26.9
2024/7/21 12:00,33.2,27.4
2024/7/21 13:00,34.4,25.7
2024/7/21 14:00,35.6,25.6
2024/7/21 15:00,36,27
2024/7/21 16:00,33.8,26
2024/7/21 17:00,33.3,26.7
2024/7/21 18:00,31.3,26.8
2024/7/21 19:00,30.5,30.3
2024/7/21 20:00,29.7,31.1
2024/7/21 21:00,29.2,31.6
2024/7/21 22:00,28.8,31.9
2024/7/21 23:00,28.4,32.1
2024/7/22 0:00,27.7,32.3
2024/7/22 1:00,27.2,32.4
2024/7/22 2:00,27.1,32.5
2024/7/22 3:00,26.9,32.6
2024/7/22 4:00,26.2,32.6
2024/7/22 5:00,26,32.5
2024/7/22 6:00,27,29.6
2024/7/22 7:00,28.7,26.7
2024/7/22 8:00,30.3,26.5
2024/7/22 9:00,31.2,26
2024/7/22 10:00,32.7,26.4
2024/7/22 11:00,33.9,26.2
2024/7/22 12:00,35,26.2
2024/7/22 13:00,35.4,26.2
2024/7/22 14:00,36.9,26.1
2024/7/22 15:00,31.7,31
2024/7/22 16:00,31.6,32
2024/7/22 17:00,31.1,27.4
2024/7/22 18:00,32.5,26.3
2024/7/22 19:00,31.7,30.7
2024/7/22 20:00,30.1,31.6
2024/7/22 21:00,25,32
2024/7/22 22:00,25.3,32
2024/7/22 23:00,25.1,32.4
2024/7/23 0:00,25,32.6
2024/7/23 1:00,25.1,32.5
2024/7/23 2:00,25,32.6
2024/7/23 3:00,24.8,32.7
2024/7/23 4:00,24.9,32.6
2024/7/23 5:00,24.9,32.9
2024/7/23 6:00,26,30.4
2024/7/23 7:00,27.8,28.1
2024/7/23 8:00,29,26.9
2024/7/23 9:00,31.1,27.3
2024/7/23 10:00,32.7,26.9
2024/7/23 11:00,34.3,27.6
2024/7/23 12:00,35.3,27.1
2024/7/23 13:00,36.3,28.3
2024/7/23 14:00,36.2,27.6
2024/7/23 15:00,35.8,28.8
2024/7/23 16:00,35.2,27.8
2024/7/23 17:00,34.9,28.3
2024/7/23 18:00,34.3,27.4
2024/7/23 19:00,33.1,31.4
2024/7/23 20:00,32.3,32
2024/7/23 21:00,31.8,32.6
2024/7/23 22:00,30.9,32.8
2024/7/23 23:00,29.9,33
2024/7/24 0:00,28.6,33.2
2024/7/24 1:00,27.5,33.1
2024/7/24 2:00,27.3,33.1
2024/7/24 3:00,27.2,33.1
2024/7/24 4:00,27.1,33.3
2024/7/24 5:00,26.8,33.4
2024/7/24 6:00,28.4,30.3
2024/7/24 7:00,30.2,26.1
2024/7/24 8:00,31.5,25.2
2024/7/24 9:00,32.2,26.5
2024/7/24 10:00,33,27.7
2024/7/24 11:00,33.3,27.6
2024/7/24 12:00,35.9,27.2
2024/7/24 13:00,24.2,28.5
2024/7/24 14:00,25,27.3
2024/7/24 15:00,28.7,25.4
2024/7/24 16:00,30.5,23.7
2024/7/24 17:00,32.1,27.2
2024/7/24 18:00,31.2,26.1
2024/7/24 19:00,30,26.1
2024/7/24 20:00,28.9,26.2
2024/7/24 21:00,28.3,26.1
2024/7/24 22:00,27.4,26.1
2024/7/24 23:00,28.1,26.3
2024/7/25 0:00,27.2,26.4
2024/7/25 1:00,27.1,26.9
2024/7/25 2:00,27.3,27.2
2024/7/25 3:00,26.8,26.6
2024/7/25 4:00,26.6,26.6
2024/7/25 5:00,25.7,26.2
2024/7/25 6:00,26.6,25.7
2024/7/25 7:00,27.9,25.9
2024/7/25 8:00,28.8,26.2
2024/7/25 9:00,30.3,26.6
2024/7/25 10:00,31.5,27.3
2024/7/25 11:00,33,26.8
2024/7/25 12:00,33.4,27.7
2024/7/25 13:00,35.3,26.3
2024/7/25 14:00,36.1,27.6
2024/7/25 15:00,35.4,27.1
2024/7/25 16:00,34.8,25.8
2024/7/25 17:00,33.9,27.5
2024/7/25 18:00,30.2,26
2024/7/25 19:00,28.5,30.1
2024/7/25 20:00,27.7,31.1
2024/7/25 21:00,26.8,31.5
2024/7/25 22:00,26.4,31.8
2024/7/25 23:00,26.2,32
2024/7/26 0:00,26.3,32.2
2024/7/26 1:00,26.5,32.3
2024/7/26 2:00,26.2,32.5
2024/7/26 3:00,25.8,32.6
2024/7/26 4:00,25.3,32.6
2024/7/26 5:00,25,32.5
2024/7/26 6:00,25.8,26.8
2024/7/26 7:00,26.9,27.4
2024/7/26 8:00,27.8,26.9
2024/7/26 9:00,29.3,26.8
2024/7/26 10:00,32.2,26.3
2024/7/26 11:00,33.3,27.6
2024/7/26 12:00,35,26.9
2024/7/26 13:00,36.5,26.1
2024/7/26 14:00,36.8,26.6
2024/7/26 15:00,36.2,25.6
2024/7/26 16:00,34.9,26.5
2024/7/26 17:00,34,26.1
2024/7/26 18:00,33.4,26.7
2024/7/26 19:00,31.9,30.6
2024/7/26 20:00,27.1,31.4
2024/7/26 21:00,26,31.6
2024/7/26 22:00,25.4,31.7
2024/7/26 23:00,25.9,32.2
2024/7/27 0:00,25.7,32.5
2024/7/27 1:00,25.9,32.6
2024/7/27 2:00,25.9,32.6
2024/7/27 3:00,25.8,32.7
2024/7/27 4:00,25.5,32.8
2024/7/27 5:00,25.4,32.7
2024/7/27 6:00,26.1,29.9
2024/7/27 7:00,27.2,26.5
2024/7/27 8:00,27.7,26.4
2024/7/27 9:00,29.5,27.4
2024/7/27 10:00,31,27.1
2024/7/27 11:00,32.9,26.1
2024/7/27 12:00,34.4,27
2024/7/27 13:00,35.2,25.8
2024/7/27 14:00,35.9,26.9
2024/7/27 15:00,36.3,27.4
2024/7/27 16:00,36.3,25.9
2024/7/27 17:00,33.5,27.4
2024/7/27 18:00,29.1,26
2024/7/27 19:00,27.4,30.1
2024/7/27 20:00,26.9,31
2024/7/27 21:00,26.6,31.4
2024/7/27 22:00,26.9,31.7
2024/7/27 23:00,26.5,32.1
2024/7/28 0:00,26.4,32.3
2024/7/28 1:00,26,32.4
2024/7/28 2:00,25.8,32.4
2024/7/28 3:00,25.7,32.4
2024/7/28 4:00,25.9,32.6
2024/7/28 5:00,25.8,32.6
2024/7/28 6:00,27.1,27.1
2024/7/28 7:00,28.3,26.3
2024/7/28 8:00,29.5,26.9
2024/7/28 9:00,30.9,26.2
2024/7/28 10:00,32.4,26.5
2024/7/28 11:00,33.8,26.7
2024/7/28 12:00,34.8,26
2024/7/28 13:00,35.2,27
2024/7/28 14:00,35.8,26
2024/7/28 15:00,36.1,26.9
2024/7/28 16:00,36.1,26.2
2024/7/28 17:00,34.6,26.6
2024/7/28 18:00,33.7,27.1
2024/7/28 19:00,32.2,30.7
2024/7/28 20:00,32.4,31.6
2024/7/28 21:00,31.5,32.2
2024/7/28 22:00,30.1,32.6
2024/7/28 23:00,30,32.7
2024/7/29 0:00,29.6,33
2024/7/29 1:00,30.1,33.2
2024/7/29 2:00,29.5,33.1
2024/7/29 3:00,29.8,33.3
2024/7/29 4:00,28.4,33.3
2024/7/29 5:00,28.7,33.4
2024/7/29 6:00,29.5,29.6
2024/7/29 7:00,29.8,26.8
2024/7/29 8:00,32,27.4
2024/7/29 9:00,33.9,26.7
2024/7/29 10:00,34.5,26.2
2024/7/29 11:00,35.4,27.2
2024/7/29 12:00,36.2,26.8
2024/7/29 13:00,37.9,26.4
2024/7/29 14:00,37.9,27.7
2024/7/29 15:00,35.9,30.3
2024/7/29 16:00,34.3,26
2024/7/29 17:00,33.3,25.1
2024/7/29 18:00,33.2,29.8
2024/7/29 19:00,31.7,31.4
2024/7/29 20:00,31.1,32.2
2024/7/29 21:00,30.5,32.7
2024/7/29 22:00,30.5,33.1
2024/7/29 23:00,30.2,33.4
2024/7/30 0:00,29.7,33.4
2024/7/30 1:00,30.2,33.6
2024/7/30 2:00,29.6,33.8
2024/7/30 3:00,29.5,33.7
2024/7/30 4:00,29,33.8
2024/7/30 5:00,28.4,33.9
2024/7/30 6:00,29.4,30.2
2024/7/30 7:00,31,27.2
2024/7/30 8:00,32.9,26.7
2024/7/30 9:00,32.8,26.9
2024/7/30 10:00,32.9,26.7
2024/7/30 11:00,34,26.3
2024/7/30 12:00,35.1,25.7
2024/7/30 13:00,34.3,27.9
2024/7/30 14:00,34.3,27.4
2024/7/30 15:00,33.1,27.9
2024/7/30 16:00,29.5,27.4
2024/7/30 17:00,30.1,26.9
2024/7/30 18:00,30,27.5
2024/7/30 19:00,28.9,31.1
2024/7/30 20:00,28.7,31.9
2024/7/30 21:00,28.4,32.4
2024/7/30 22:00,29.1,32.8
2024/7/30 23:00,28.9,33
2024/7/31 0:00,29,33.3
2024/7/31 1:00,28.8,33.3
2024/7/31 2:00,28.6,33.3
2024/7/31 3:00,28.6,33.6
2024/7/31 4:00,27.8,33.4
2024/7/31 5:00,27.9,33.4
2024/7/31 6:00,28.1,30.6
2024/7/31 7:00,28.9,27.1
2024/7/31 8:00,29.7,26.6
2024/7/31 9:00,31.3,26.5
2024/7/31 10:00,32,26.4
2024/7/31 11:00,32.7,25.5
2024/7/31 12:00,33.8,25.6
2024/7/31 13:00,33.9,25.2
2024/7/31 14:00,34.8,25.6
2024/7/31 15:00,34.8,26.3
2024/7/31 16:00,34.4,26.6
2024/7/31 17:00,33.7,27.7
2024/7/31 18:00,27.2,26.8
2024/7/31 19:00,25.8,30.6
2024/7/31 20:00,25.8,31.5
2024/7/31 21:00,25.7,31.9
2024/7/31 22:00,25.8,32.2
2024/7/31 23:00,26.1,32.5
